mode,date,tap,loc,count
bus,20160809,off,2170,11907
bus,20160809,off,2154,6885
bus,20160809,off,2155,6226
bus,20160809,off,2156,228
bus,20160809,off,2157,75
bus,20160809,off,2019,2308
bus,20160809,off,2018,5090
bus,20160809,off,2152,1222
bus,20160809,off,2153,8626
bus,20160809,off,2015,3672
bus,20160809,off,2745,767
bus,20160809,off,2017,6256
bus,20160809,off,2016,3366
bus,20160809,off,2011,2024
bus,20160809,off,2010,22823
bus,20160809,off,2308,1028
bus,20160809,off,2767,1355
bus,20160809,off,2747,1637
bus,20160809,off,2525,884
bus,20160809,off,2508,531
bus,20160809,off,2262,305
bus,20160809,off,2760,2701
bus,20160809,off,2106,783
bus,20160809,off,2260,952
bus,20160809,off,2515,541
bus,20160809,off,2748,117
bus,20160809,off,2261,3726
bus,20160809,off,2179,76
bus,20160809,off,2761,1890
bus,20160809,off,2318,657
bus,20160809,off,2319,233
bus,20160809,off,2316,194
bus,20160809,off,2317,555
bus,20160809,off,2315,354
bus,20160809,off,2502,1243
bus,20160809,off,2068,3595
bus,20160809,off,2069,1230
bus,20160809,off,2145,6919
bus,20160809,off,2144,1954
bus,20160809,off,-1,64209
bus,20160809,off,2142,2975
bus,20160809,off,2141,3482
bus,20160809,off,2140,963
bus,20160809,off,2060,10603
bus,20160809,off,2061,531
bus,20160809,off,2062,1631
bus,20160809,off,2063,1299
bus,20160809,off,2064,934
bus,20160809,off,2065,9074
bus,20160809,off,2066,7509
bus,20160809,off,2067,8098
bus,20160809,off,2778,70
bus,20160809,off,2526,1046
bus,20160809,off,2770,7274
bus,20160809,off,2557,106
bus,20160809,off,2774,651
bus,20160809,off,2782,185
bus,20160809,off,2776,215
bus,20160809,off,2777,1583
bus,20160809,off,2766,1294
bus,20160809,off,2768,3709
bus,20160809,off,2231,133
bus,20160809,off,2753,289
bus,20160809,off,2517,631
bus,20160809,off,2785,88
bus,20160809,off,2147,3901
bus,20160809,off,2527,1285
bus,20160809,off,2195,597
bus,20160809,off,2500,5067
bus,20160809,off,2783,56
bus,20160809,off,2146,1167
bus,20160809,off,2300,1296
bus,20160809,off,2303,680
bus,20160809,off,2302,1029
bus,20160809,off,2305,792
bus,20160809,off,2304,1024
bus,20160809,off,2307,115
bus,20160809,off,2306,97
bus,20160809,off,2173,777
bus,20160809,off,2079,246
bus,20160809,off,2108,160
bus,20160809,off,2176,4340
bus,20160809,off,2177,873
bus,20160809,off,2174,90
bus,20160809,off,2762,398
bus,20160809,off,2073,861
bus,20160809,off,2072,1435
bus,20160809,off,2071,677
bus,20160809,off,2070,885
bus,20160809,off,2077,3377
bus,20160809,off,2076,1358
bus,20160809,off,2075,2064
bus,20160809,off,2074,2474
bus,20160809,off,2289,1213
bus,20160809,off,2769,389
bus,20160809,off,2283,861
bus,20160809,off,2259,3226
bus,20160809,off,2559,219
bus,20160809,off,2280,1002
bus,20160809,off,2281,362
bus,20160809,off,2282,497
bus,20160809,off,2258,225
bus,20160809,off,2284,676
